game,policy,model,levels,score,level_steps,skills,arms,f1,f1_curve,cover_curve,regress_curve,compress_curve,laws_curve,cases_curve,laws,explored,time
ar25,random,descent,0/8,0.0,—,0,—,0.743,0.58→0.71→0.84→0.77→0.79→1.00,0.65→0.87→0.94→0.79→0.85→1.00,0.01→0.00→0.00→0.00→0.00→0.00,3.1→6.3→9.3→11.9→14.6→15.7,7→13→13→14→15→16,0→0→0→0→0→0,16,0,46.4
ar25,random,hybrid,0/8,0.0,—,0,—,0.772,0.68→0.77→0.84→0.77→0.79→0.93,0.82→0.90→0.97→0.81→0.90→1.00,0.01→0.00→0.00→0.00→0.00,3.1→6.3→9.3→11.9→14.6→15.7,7→13→13→14→15→16,124→208→175→202→249→312,16,1195,46.8
cn04,random,hybrid,0/6,0.0,—,0,—,0.687,0.32→0.72→0.79→0.79→0.81→0.76,0.57→1.00→1.00→1.00→1.00→1.00,0.00→0.00→0.00→0.00→0.00→0.00,1.8→3.0→3.7→4.2→5.4→6.3,7→13→18→24→23→23,112→216→270→313→330→394,22,1220,70.0
cn04,random,descent,0/6,0.0,—,0,—,0.675,0.28→0.71→0.76→0.80→0.80→0.81,0.45→0.85→0.88→0.95→0.91→0.96,0.00→0.00→0.00→0.00→0.00→0.00,1.8→3.0→3.7→4.2→5.4→6.3,7→13→18→24→23→23,0→0→0→0→0→0,22,0,70.1
ft09,random,descent,0/6,0.0,—,0,—,0.588,0.12→0.67→0.77→0.74→0.61→0.62,0.43→0.89→0.89→1.00→1.00→0.90,0.09→0.00→0.00→0.00→0.23→0.19,0.7→1.4→2.5→4.3→5.2→5.7,2→6→7→7→7→7,0→0→0→0→0→0,7,0,81.0
ft09,random,hybrid,0/6,0.0,—,0,—,0.585,0.12→0.67→0.75→0.74→0.61→0.62,0.86→0.96→0.93→1.00→1.00→0.90,0.03→0.00→0.00→0.00→0.22→0.19,0.7→1.4→2.5→4.3→5.2→5.7,2→6→7→7→7→7,441→1485→1834→2661→3316→3409,7,2440,127.4
cd82,random,descent,0/6,0.0,—,0,—,0.709,0.55→0.74→0.69→0.80→0.79→0.00,0.70→0.92→0.87→0.94→0.93→0.00,0.00→0.00→0.00→0.00→0.00,1.9→3.1→4.5→5.6→6.5→6.7,14→27→36→42→44→46,0→0→0→0→0→0,46,0,206.7
cd82,random,hybrid,0/6,0.0,—,0,—,0.723,0.58→0.75→0.69→0.82→0.80→0.00,0.96→0.98→0.98→0.98→0.97→1.00,0.00→0.00→0.00→0.00→0.00,1.9→3.1→4.5→5.6→6.5→6.7,14→27→36→42→44→46,131→371→565→795→1025→1135,46,1104,206.8
g50t,random,descent,0/7,0.0,—,0,—,0.677,0.50→0.66→0.71→0.72→0.78,0.63→0.80→0.91→0.88→0.87,0.01→0.00→0.01→0.00→0.00→0.00,1.8→3.4→4.1→6.8→9.4→11.0,8→18→24→19→20,0→0→0→0→0,21,0,165.8
lf52,random,descent,0/10,0.0,—,0,—,0.801,0.90→0.76→0.50→0.98→0.87→0.75,0.92→0.77→0.50→0.98→0.87→0.75,0.00→0.00→0.00→0.00→0.00→0.00,7.8→20.8→23.9→21.2→17.9→19.1,4→5→7→9→13→13,0→0→0→0→0→0,13,0,52.7
g50t,random,hybrid,0/7,0.0,—,0,—,0.666,0.50→0.68→0.71→0.68→0.76,0.86→0.91→0.95→0.94→0.94,0.00→0.00→0.01→0.00→0.00,1.8→3.4→4.1→6.8→9.4→11.0,8→18→24→19→20,176→396→615→834→1022,21,1003,174.6
lp85,random,descent,0/8,0.0,—,0,—,0.566,0.00→0.64→0.73→0.55→0.60→0.78→0.66,0.42→0.73→0.75→0.62→0.62→0.81→0.73,0.02→0.01→0.05→0.03→0.01→0.00,2.9→2.0→3.0→3.7→4.3→4.9→5.6,2→8→12→12→13→14→15,0→0→0→0→0→0→0,17,0,20.5
lp85,random,hybrid,0/8,0.0,—,0,—,0.66,0.00→0.76→0.83→0.66→0.73→0.86→0.77,0.73→0.75→0.75→0.62→0.62→0.81→0.78,0.03→0.03→0.08→0.03→0.01→0.00,2.9→2.0→3.0→3.7→4.3→4.9→5.6,2→8→12→12→13→14→15,269→371→374→465→564→462→744,17,3064,27.1
lf52,random,hybrid,0/10,0.0,—,0,—,0.858,0.92→0.81→0.65→0.99→0.91→0.86,0.99→0.79→0.53→0.99→0.88→0.75,0.00→0.00→0.00→0.00→0.00,7.8→20.8→23.9→21.2→17.9→19.1,4→5→7→9→13→13,380→416→1379→2453→2504→2880,13,1436,62.7
ls20,random,descent,0/7,0.0,—,0,—,0.779,0.66→0.83→0.83→0.76→0.81→1.00,0.80→0.92→0.88→0.96→0.94→1.00,0.01→0.00→0.00→0.00→0.00,6.6→13.2→13.0→7.7→7.9→8.2,3→6→9→19→23→24,0→0→0→0→0→0,24,0,63.9
dc22,random,descent,0/6,0.0,—,0,—,0.616,0.60→0.50→0.56→0.65→0.73→0.88,0.78→0.64→0.75→0.90→0.94→1.00,0.01→0.01→0.00→0.01→0.00,2.2→3.6→3.6→4.1→6.1→7.1,8→17→26→34→30→29,0→0→0→0→0→0,29,0,443.7
dc22,random,hybrid,0/6,0.0,—,0,—,0.66,0.69→0.52→0.62→0.71→0.73→0.82,1.00→0.93→0.94→1.00→1.00→1.00,0.01→0.00→0.00→0.00→0.00,2.2→3.6→3.6→4.1→6.1→7.1,8→17→26→34→30→29,293→500→1305→1998→2472→2800,29,1042,445.1
